sample,factor,value,group
F369,Factor3,-0.716852669588982,single_group
F364,Factor3,-0.495945160108829,single_group
F370,Factor3,-0.301202268028606,single_group
F347,Factor3,3.11014499620805,single_group
F368,Factor3,-0.390493196146816,single_group
F387,Factor3,1.45988134562468,single_group
F384,Factor3,-0.891303583332625,single_group
F403,Factor3,-0.317861897251298,single_group
F406,Factor3,-0.166517210956507,single_group
F409,Factor3,-0.845169442471936,single_group
F407,Factor3,-0.566707638941131,single_group
F385,Factor3,1.50860611883538,single_group
F310,Factor3,1.12265835705726,single_group
F270,Factor3,-0.429465617301579,single_group
F296,Factor3,-0.506035939538921,single_group
F259,Factor3,-1.37590957381311,single_group
F367,Factor3,-1.58624204315087,single_group
F402,Factor3,-0.302941908488583,single_group
F396,Factor3,1.59349120310696,single_group
F241,Factor3,-0.192309931421328,single_group
F340,Factor3,0.640542063900679,single_group
F319,Factor3,0.43162600233859,single_group
F308,Factor3,-0.735334584831646,single_group
F212,Factor4,-0.218848409227008,single_group
F213,Factor4,0.761678009266446,single_group
F214,Factor4,1.46213653316593,single_group
F215,Factor4,0.694604705595811,single_group
F216,Factor4,-0.314016325630556,single_group
F217,Factor4,-1.38221867599493,single_group
F218,Factor4,1.42198115142486,single_group
F219,Factor4,-0.719712405080169,single_group
F220,Factor4,-0.816645999782737,single_group
F221,Factor4,-0.290444506295063,single_group
F223,Factor4,-1.08008346635543,single_group
F224,Factor4,-0.228035689909238,single_group
F225,Factor4,0.112073684486947,single_group
F226,Factor4,1.2175085838979,single_group
F227,Factor4,0.923396443454718,single_group
F229,Factor4,0.150106705264782,single_group
F230,Factor4,-0.651089310768824,single_group
F231,Factor4,0.101656917924035,single_group
F232,Factor4,0.670836131164267,single_group
F233,Factor4,-1.72388197408272,single_group
F234,Factor4,-0.325365454106265,single_group
F235,Factor4,0.698567119692864,single_group
F236,Factor4,0.231217960268705,single_group
F237,Factor4,0.651973157055794,single_group
F239,Factor4,-1.18019489828522,single_group
F240,Factor4,-0.133275564796887,single_group
